URL,Type,Sektion,Filsti (Astro),Live på taekkemandcarlsen.dk,Live på vercel preview,Gammel/Ny modpart,Mangler / noter,Ansvarlig (Mads/Peter)
/,Forside,Forside,src/pages/index.astro,Ja,Ja,,Bruger v5-komponenter,
/aldebehandling-af-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/aldebehandling-af-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/algebehandling-af-tag.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/aldebehandling-af-straatag/,DUBLET — findes begge steder,
/algebehandling.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/aldebehandling-af-straatag/,DUBLET — findes begge steder,
/anmeldelser,Info-side,Info,src/pages/anmeldelser.astro,Nej,Ja,,,
/forside-v5,Forside-eksperiment,Designvariant,src/pages/forside-v5.astro,Nej,Ja,,BESLUT: v5 vs v8 — slet den anden,
/forside-v5/algebehandling,Test-side,Eksperiment,src/pages/forside-v5/algebehandling.astro,Nej,Ja,,Eksperiment under v5 — beslut om den skal beholdes,
/forside-v8,Forside-eksperiment,Designvariant,src/pages/forside-v8.astro,Nej,Ja,,BESLUT: v5 vs v8 — slet den anden,
